NAME,CLUB,LEAGUE,POSITION,TIER
Leonardo Bonucci,Piemonte Calcio,Italy Serie A,CB,Gold
Joshua Kimmich,Bayern München,Germany 1. Bundesliga,RB,Gold
Parejo,Valencia CF,Spain Primera Division,CM,Gold
Marco Verratti,Paris Saint-Germain,France Ligue 1,CM,Gold
Isco,Real Madrid,Spain Primera Division,CAM,Gold
Coutinho,Bayern München,Germany 1. Bundesliga,LW,Gold
Nicolás Otamendi,Manchester City,England Premier League,CB,Gold
Leandro Trossard,Brighton & Hove Albion,England Premier League,LW,Gold
Nicolás Otamendi,Manchester City,England Premier League,CB,Gold
Idrissa Gueye,Paris Saint-Germain,France Ligue 1,CDM,Gold
Anthony Martial,Manchester United,England Premier League,LW,Gold
Alex Oxlade-Chamberlain,Liverpool,England Premier League,CM,Gold
